ahmed@ahmed-VirtualBox:~/task5$ gcc task5.c -o output
ahmed@ahmed-VirtualBox:~/task5$ ./task5.c /home 1024
bash: ./task5.c: Permission denied
ahmed@ahmed-VirtualBox:~/task5$ ./task5 /home 1024
bash: ./task5: No such file or directory
ahmed@ahmed-VirtualBox:~/task5$ ./output /home 1024
File Size Histogram (bin width = 1024 bytes):
698368 - 699391: 1 files
702464 - 703487: 2 files
705536 - 706559: 1 files
720896 - 721919: 1 files
733184 - 734207: 1 files
736256 - 737279: 1 files
737280 - 738303: 1 files
747520 - 748543: 2 files
750592 - 751615: 1 files
751616 - 752639: 2 files
752640 - 753663: 1 files
755712 - 756735: 1 files
756736 - 757759: 1 files
757760 - 758783: 1 files
783360 - 784383: 1 files
797696 - 798719: 1 files
819200 - 820223: 1 files
832512 - 833535: 1 files
839680 - 840703: 1 files
841728 - 842751: 2 files
851968 - 852991: 3 files
861184 - 862207: 1 files
871424 - 872447: 1 files
873472 - 874495: 2 files
893952 - 894975: 1 files
904192 - 905215: 1 files
912384 - 913407: 1 files
913408 - 914431: 1 files
930816 - 931839: 1 files
940032 - 941055: 2 files
941056 - 942079: 1 files
967680 - 968703: 1 files
988160 - 989183: 2 files
1002496 - 1003519: 1 files
1007616 - 1008639: 2 files
1008640 - 1009663: 1 files
